n = 100000
Cycles = 2000
Car 0 : Position 115589, Velocity 7
Car 1 : Position 115560, Velocity 8
Car 2 : Position 115518, Velocity 8
Car 3 : Position 115496, Velocity 8
Car 4 : Position 115486, Velocity 8
Car 5 : Position 115467, Velocity 8
Car 6 : Position 115450, Velocity 8
Car 7 : Position 115441, Velocity 8
Car 8 : Position 115421, Velocity 8
Car 9 : Position 115385, Velocity 8
Car 10 : Position 115368, Velocity 8
Car 11 : Position 115359, Velocity 8
Car 12 : Position 115338, Velocity 7
Car 13 : Position 115328, Velocity 8
Car 14 : Position 115308, Velocity 7
Car 15 : Position 115299, Velocity 8
Car 16 : Position 115283, Velocity 8
Car 17 : Position 115273, Velocity 8
Car 18 : Position 115256, Velocity 7
Car 19 : Position 115248, Velocity 7
Car 20 : Position 115232, Velocity 8
Car 21 : Position 115202, Velocity 8
Car 22 : Position 115190, Velocity 8
Car 23 : Position 115170, Velocity 7
Car 24 : Position 115150, Velocity 7
Car 25 : Position 115134, Velocity 8
Car 26 : Position 115120, Velocity 8
Car 27 : Position 115107, Velocity 8
Car 28 : Position 115094, Velocity 7
Car 29 : Position 115085, Velocity 8
Car 30 : Position 115069, Velocity 8
Car 31 : Position 115057, Velocity 8
Car 32 : Position 115046, Velocity 8
Car 33 : Position 115033, Velocity 8
Car 34 : Position 115024, Velocity 8
Car 35 : Position 115012, Velocity 8
Car 36 : Position 114997, Velocity 7
Car 37 : Position 114981, Velocity 8
Car 38 : Position 114972, Velocity 7
Car 39 : Position 114959, Velocity 8
Car 40 : Position 114950, Velocity 8
Car 41 : Position 114933, Velocity 8
Car 42 : Position 114920, Velocity 8
Car 43 : Position 114909, Velocity 8
Car 44 : Position 114896, Velocity 8
Car 45 : Position 114886, Velocity 8
Car 46 : Position 114875, Velocity 8
Car 47 : Position 114862, Velocity 8
Car 48 : Position 114848, Velocity 7
Car 49 : Position 114838, Velocity 8
Car 50 : Position 114828, Velocity 8
Car 51 : Position 114813, Velocity 7
Car 52 : Position 114803, Velocity 8
Car 53 : Position 114792, Velocity 8
Car 54 : Position 114780, Velocity 8
Car 55 : Position 114769, Velocity 8
Car 56 : Position 114758, Velocity 8
Car 57 : Position 114735, Velocity 8
Car 58 : Position 114726, Velocity 7
Car 59 : Position 114715, Velocity 8
Car 60 : Position 114687, Velocity 8
Car 61 : Position 114667, Velocity 8
Car 62 : Position 114657, Velocity 8
Car 63 : Position 114646, Velocity 7
Car 64 : Position 114638, Velocity 8
Car 65 : Position 114623, Velocity 8
Car 66 : Position 114605, Velocity 8
Car 67 : Position 114590, Velocity 8
Car 68 : Position 114580, Velocity 7
Car 69 : Position 114564, Velocity 8
Car 70 : Position 114550, Velocity 8
Car 71 : Position 114532, Velocity 8
Car 72 : Position 114518, Velocity 8
Car 73 : Position 114509, Velocity 8
Car 74 : Position 114484, Velocity 7
Car 75 : Position 114466, Velocity 7
Car 76 : Position 114458, Velocity 7
Car 77 : Position 114443, Velocity 8
Car 78 : Position 114434, Velocity 8
Car 79 : Position 114422, Velocity 8
Car 80 : Position 114412, Velocity 8
Car 81 : Position 114398, Velocity 7
Car 82 : Position 114390, Velocity 8
Car 83 : Position 114372, Velocity 8
Car 84 : Position 114358, Velocity 8
Car 85 : Position 114340, Velocity 7
Car 86 : Position 114330, Velocity 8
Car 87 : Position 114317, Velocity 7
Car 88 : Position 114305, Velocity 8
Car 89 : Position 114284, Velocity 8
Car 90 : Position 114272, Velocity 8
Car 91 : Position 114250, Velocity 7
Car 92 : Position 114240, Velocity 8
Car 93 : Position 114231, Velocity 8
Car 94 : Position 114196, Velocity 8
Car 95 : Position 114179, Velocity 8
Car 96 : Position 114161, Velocity 8
Car 97 : Position 114139, Velocity 8
Car 98 : Position 114112, Velocity 8
Car 99 : Position 114101, Velocity 8
Car 100 : Position 114084, Velocity 8
Car 101 : Position 114071, Velocity 7
Car 102 : Position 114061, Velocity 7
Car 103 : Position 114053, Velocity 8
Car 104 : Position 114038, Velocity 8
Car 105 : Position 114023, Velocity 8
Car 106 : Position 113992, Velocity 7
Car 107 : Position 113976, Velocity 8
Car 108 : Position 113954, Velocity 8
Car 109 : Position 113937, Velocity 8
Car 110 : Position 113928, Velocity 7
Car 111 : Position 113910, Velocity 8
Car 112 : Position 113897, Velocity 7
Car 113 : Position 113884, Velocity 8
Car 114 : Position 113868, Velocity 8
Car 115 : Position 113850, Velocity 8
Car 116 : Position 113835, Velocity 7
Car 117 : Position 113822, Velocity 8
Car 118 : Position 113812, Velocity 8
Car 119 : Position 113792, Velocity 8
Car 120 : Position 113772, Velocity 8
Car 121 : Position 113761, Velocity 7
Car 122 : Position 113752, Velocity 8
Car 123 : Position 113743, Velocity 8
Car 124 : Position 113731, Velocity 7
Car 125 : Position 113718, Velocity 8
Car 126 : Position 113704, Velocity 8
Car 127 : Position 113691, Velocity 7
Car 128 : Position 113680, Velocity 8
Car 129 : Position 113666, Velocity 8
Car 130 : Position 113640, Velocity 8
Car 131 : Position 113620, Velocity 8
Car 132 : Position 113606, Velocity 8
Car 133 : Position 113596, Velocity 8
Car 134 : Position 113577, Velocity 8
Car 135 : Position 113568, Velocity 8
Car 136 : Position 113554, Velocity 7
Car 137 : Position 113540, Velocity 8
Car 138 : Position 113522, Velocity 8
Car 139 : Position 113508, Velocity 8
Car 140 : Position 113492, Velocity 8
Car 141 : Position 113483, Velocity 8
Car 142 : Position 113473, Velocity 8
Car 143 : Position 113462, Velocity 8
Car 144 : Position 113449, Velocity 8
Car 145 : Position 113429, Velocity 8
Car 146 : Position 113413, Velocity 8
Car 147 : Position 113400, Velocity 8
Car 148 : Position 113374, Velocity 7
Car 149 : Position 113362, Velocity 7
Car 150 : Position 113354, Velocity 7
Car 151 : Position 113345, Velocity 8
Car 152 : Position 113332, Velocity 8
Car 153 : Position 113319, Velocity 8
Car 154 : Position 113309, Velocity 8
Car 155 : Position 113296, Velocity 7
Car 156 : Position 113285, Velocity 7
Car 157 : Position 113277, Velocity 7
Car 158 : Position 113266, Velocity 8
Car 159 : Position 113253, Velocity 8
Car 160 : Position 113243, Velocity 6
Car 161 : Position 113236, Velocity 7
Car 162 : Position 113223, Velocity 8
Car 163 : Position 113214, Velocity 8
Car 164 : Position 113197, Velocity 8
Car 165 : Position 113186, Velocity 7
Car 166 : Position 113163, Velocity 8
Car 167 : Position 113153, Velocity 8
Car 168 : Position 113142, Velocity 8
Car 169 : Position 113120, Velocity 8
Car 170 : Position 113109, Velocity 8
Car 171 : Position 113096, Velocity 8
Car 172 : Position 113085, Velocity 8
Car 173 : Position 113057, Velocity 8
Car 174 : Position 113047, Velocity 8
Car 175 : Position 113038, Velocity 8
Car 176 : Position 113017, Velocity 8
Car 177 : Position 113001, Velocity 8
Car 178 : Position 112988, Velocity 8
Car 179 : Position 112973, Velocity 8
Car 180 : Position 112962, Velocity 8
Car 181 : Position 112951, Velocity 7
Car 182 : Position 112942, Velocity 8
Car 183 : Position 112922, Velocity 8
Car 184 : Position 112913, Velocity 8
Car 185 : Position 112900, Velocity 8
Car 186 : Position 112887, Velocity 8
Car 187 : Position 112874, Velocity 7
Car 188 : Position 112865, Velocity 6
Car 189 : Position 112854, Velocity 8
Car 190 : Position 112822, Velocity 8
Car 191 : Position 112803, Velocity 8
Car 192 : Position 112788, Velocity 7
Car 193 : Position 112780, Velocity 8
Car 194 : Position 112771, Velocity 7
Car 195 : Position 112762, Velocity 8
Car 196 : Position 112751, Velocity 8
Car 197 : Position 112727, Velocity 8
Car 198 : Position 112717, Velocity 8
Car 199 : Position 112706, Velocity 7
Car 200 : Position 112693, Velocity 8
Car 201 : Position 112683, Velocity 8
Car 202 : Position 112672, Velocity 8
Car 203 : Position 112661, Velocity 8
Car 204 : Position 112647, Velocity 7
Car 205 : Position 112634, Velocity 8
Car 206 : Position 112623, Velocity 8
Car 207 : Position 112612, Velocity 8
Car 208 : Position 112597, Velocity 8
Car 209 : Position 112585, Velocity 8
Car 210 : Position 112567, Velocity 8
Car 211 : Position 112557, Velocity 8
Car 212 : Position 112546, Velocity 7
Car 213 : Position 112535, Velocity 8
Car 214 : Position 112518, Velocity 8
Car 215 : Position 112507, Velocity 8
Car 216 : Position 112492, Velocity 8
Car 217 : Position 112478, Velocity 8
Car 218 : Position 112469, Velocity 8
Car 219 : Position 112458, Velocity 8
Car 220 : Position 112446, Velocity 8
Car 221 : Position 112420, Velocity 7
Car 222 : Position 112404, Velocity 8
Car 223 : Position 112391, Velocity 8
Car 224 : Position 112381, Velocity 8
Car 225 : Position 112368, Velocity 8
Car 226 : Position 112344, Velocity 8
Car 227 : Position 112335, Velocity 8
Car 228 : Position 112315, Velocity 8
Car 229 : Position 112306, Velocity 8
Car 230 : Position 112280, Velocity 8
Car 231 : Position 112268, Velocity 7
Car 232 : Position 112252, Velocity 8
Car 233 : Position 112238, Velocity 8
Car 234 : Position 112221, Velocity 8
Car 235 : Position 112209, Velocity 8
Car 236 : Position 112195, Velocity 6
Car 237 : Position 112184, Velocity 7
Car 238 : Position 112174, Velocity 8
Car 239 : Position 112158, Velocity 8
Car 240 : Position 112149, Velocity 8
Car 241 : Position 112137, Velocity 8
Car 242 : Position 112127, Velocity 7
Car 243 : Position 112110, Velocity 8
Car 244 : Position 112088, Velocity 7
Car 245 : Position 112073, Velocity 8
Car 246 : Position 112054, Velocity 7
Car 247 : Position 112046, Velocity 7
Car 248 : Position 112036, Velocity 8
Car 249 : Position 112027, Velocity 7
Car 250 : Position 112014, Velocity 8
Car 251 : Position 112003, Velocity 8
Car 252 : Position 111993, Velocity 8
Car 253 : Position 111983, Velocity 8
Car 254 : Position 111971, Velocity 8
Car 255 : Position 111960, Velocity 8
Car 256 : Position 111950, Velocity 8
Car 257 : Position 111939, Velocity 8
Car 258 : Position 111929, Velocity 8
Car 259 : Position 111906, Velocity 8
Car 260 : Position 111894, Velocity 8
Car 261 : Position 111878, Velocity 7
Car 262 : Position 111855, Velocity 8
Car 263 : Position 111833, Velocity 8
Car 264 : Position 111822, Velocity 8
Car 265 : Position 111813, Velocity 8
Car 266 : Position 111799, Velocity 8
Car 267 : Position 111787, Velocity 8
Car 268 : Position 111755, Velocity 8
Car 269 : Position 111740, Velocity 8
Car 270 : Position 111728, Velocity 8
Car 271 : Position 111716, Velocity 7
Car 272 : Position 111704, Velocity 8
Car 273 : Position 111688, Velocity 7
Car 274 : Position 111679, Velocity 7
Car 275 : Position 111669, Velocity 7
Car 276 : Position 111634, Velocity 8
Car 277 : Position 111610, Velocity 8
Car 278 : Position 111595, Velocity 8
Car 279 : Position 111579, Velocity 8
Car 280 : Position 111560, Velocity 8
Car 281 : Position 111545, Velocity 8
Car 282 : Position 111535, Velocity 8
Car 283 : Position 111518, Velocity 8
Car 284 : Position 111504, Velocity 8
Car 285 : Position 111483, Velocity 7
Car 286 : Position 111470, Velocity 8
Car 287 : Position 111460, Velocity 8
Car 288 : Position 111450, Velocity 8
Car 289 : Position 111430, Velocity 8
Car 290 : Position 111401, Velocity 8
Car 291 : Position 111390, Velocity 7
Car 292 : Position 111370, Velocity 8
Car 293 : Position 111357, Velocity 8
Car 294 : Position 111348, Velocity 8
Car 295 : Position 111337, Velocity 8
Car 296 : Position 111322, Velocity 8
Car 297 : Position 111299, Velocity 7
Car 298 : Position 111288, Velocity 8
Car 299 : Position 111273, Velocity 8
Car 300 : Position 111255, Velocity 8
Car 301 : Position 111242, Velocity 7
