256 bodies after simulation of 10 seconds (1 frame per 0.001 microsecond)
Body 1 : Position (1.32015m, 1.22233m), Velocity (0.14763m/s, 0.136724m/s)
Body 2 : Position (3.54165m, 2.5094m), Velocity (0.419773m/s, 0.289965m/s)
Body 3 : Position (-19.5929m, 20.1342m), Velocity (-2.25491m/s, 2.31032m/s)
Body 4 : Position (1207.97m, -6.9892m), Velocity (139.77m/s, -0.811956m/s)
Body 5 : Position (2.61344m, 2.47157m), Velocity (0.284587m/s, 0.27721m/s)
Body 6 : Position (3.05442m, -1.06882m), Velocity (0.337515m/s, -0.120799m/s)
Body 7 : Position (5.62377m, 4.24537m), Velocity (0.618247m/s, 0.467492m/s)
Body 8 : Position (13.5193m, -32.956m), Velocity (1.48675m/s, -3.64153m/s)
Body 9 : Position (-13.3693m, -32.956m), Velocity (-1.48675m/s, -3.64153m/s)
Body 10 : Position (-5.47347m, 4.24573m), Velocity (-0.618195m/s, 0.467546m/s)
Body 11 : Position (-2.7469m, -1.13328m), Velocity (-0.318895m/s, -0.128417m/s)
Body 12 : Position (-2.41912m, 2.32173m), Velocity (-0.278814m/s, 0.262524m/s)
Body 13 : Position (-1207.82m, 7.57959m), Velocity (-139.77m/s, 0.873856m/s)
Body 14 : Position (18.9418m, 20.4517m), Velocity (2.1532m/s, 2.36037m/s)
Body 15 : Position (-0.0306762m, 0.76074m), Velocity (-0.0170461m/s, 0.0802031m/s)
Body 16 : Position (-2.83635m, 2.04124m), Velocity (-0.342788m/s, 0.231998m/s)
Body 17 : Position (0.594703m, -0.238733m), Velocity (0.0611847m/s, -0.0302553m/s)
Body 18 : Position (-0.648511m, -0.562656m), Velocity (-0.0751524m/s, -0.0636886m/s)
Body 19 : Position (-30.7242m, 30.9206m), Velocity (-3.45567m/s, 3.4625m/s)
Body 20 : Position (-0.00941314m, 0.291994m), Velocity (-0.00189485m/s, 0.0271775m/s)
Body 21 : Position (-1.7216m, 0.0690355m), Velocity (-0.203263m/s, -0.00323031m/s)
Body 22 : Position (0.417114m, 7.45401m), Velocity (0.0480128m/s, 0.843996m/s)
Body 23 : Position (-1.43263m, -2.62076m), Velocity (-0.164645m/s, -0.29102m/s)
Body 24 : Position (-13.1756m, 33.5843m), Velocity (-1.46069m/s, 3.70529m/s)
Body 25 : Position (13.3256m, 33.5843m), Velocity (1.46069m/s, 3.70529m/s)
Body 26 : Position (1.5836m, -2.62145m), Velocity (0.164869m/s, -0.291236m/s)
Body 27 : Position (0.19607m, 7.2377m), Velocity (0.0055055m/s, 0.819247m/s)
Body 28 : Position (1.86958m, 0.0696857m), Velocity (0.199086m/s, -0.00948527m/s)
Body 29 : Position (0.167423m, 0.438584m), Velocity (0.00448622m/s, 0.0481595m/s)
Body 30 : Position (28.4248m, 33.2989m), Velocity (3.09093m/s, 3.81679m/s)
Body 31 : Position (0.630842m, -0.492293m), Velocity (0.0537419m/s, -0.0541955m/s)
Body 32 : Position (-0.415092m, 0.479676m), Velocity (-0.0565531m/s, 0.0480792m/s)
Body 33 : Position (20.1342m, -19.5929m), Velocity (2.31032m/s, -2.25491m/s)
Body 34 : Position (30.9779m, -30.7292m), Velocity (3.47117m/s, -3.45648m/s)
Body 35 : Position (2.66576m, 2.88794m), Velocity (0.306799m/s, 0.333037m/s)
Body 36 : Position (-0.173367m, 0.676296m), Velocity (-0.0230044m/s, 0.071514m/s)
Body 37 : Position (0.435282m, 0.171422m), Velocity (0.0446057m/s, 0.00755639m/s)
Body 38 : Position (-0.526232m, 0.355912m), Velocity (-0.0666244m/s, 0.0392628m/s)
Body 39 : Position (0.241496m, 0.367262m), Velocity (0.0242503m/s, 0.0355597m/s)
Body 40 : Position (0.00640916m, 0.233868m), Velocity (-0.00902732m/s, 0.0182212m/s)
Body 41 : Position (0.207775m, 0.0749557m), Velocity (0.0203082m/s, -0.00816192m/s)
Body 42 : Position (0.333894m, 0.0384182m), Velocity (0.0256788m/s, -0.00522088m/s)
Body 43 : Position (-4.09465m, -1.40896m), Velocity (-0.498838m/s, -0.174m/s)
Body 44 : Position (-0.543099m, 0.61152m), Velocity (-0.0779915m/s, 0.0647188m/s)
Body 45 : Position (410.2m, 403.089m), Velocity (47.768m/s, 46.9483m/s)
Body 46 : Position (46.8881m, 15.1175m), Velocity (5.45166m/s, 1.75761m/s)
Body 47 : Position (1920.19m, 470.229m), Velocity (287.075m/s, 71.1465m/s)
Body 48 : Position (-24.1086m, -19.8205m), Velocity (-2.9052m/s, -2.29619m/s)
Body 49 : Position (-6.95751m, 1207.56m), Velocity (-0.808289m/s, 139.723m/s)
Body 50 : Position (-0.571603m, -0.0117015m), Velocity (-0.0888502m/s, -0.00755956m/s)
Body 51 : Position (0.7892m, -0.034582m), Velocity (0.0847773m/s, -0.00491633m/s)
Body 52 : Position (-2.32356m, -2.27866m), Velocity (-0.274636m/s, -0.269113m/s)
Body 53 : Position (-2.01939m, 0.168765m), Velocity (-0.250064m/s, 0.0135428m/s)
Body 54 : Position (0.241879m, 4.70546m), Velocity (0.0201554m/s, 0.562352m/s)
Body 55 : Position (1.0934m, 0.902944m), Velocity (0.124633m/s, 0.102878m/s)
Body 56 : Position (0.206518m, 0.0599017m), Velocity (0.0256397m/s, 0.00322313m/s)
Body 57 : Position (-0.172311m, 0.0581195m), Velocity (-0.0321715m/s, -0.000661562m/s)
Body 58 : Position (0.129794m, 1.00347m), Velocity (0.00628833m/s, 0.114258m/s)
Body 59 : Position (-0.0457953m, -4.23225m), Velocity (-0.0145476m/s, -0.514681m/s)
Body 60 : Position (2.07422m, 0.855546m), Velocity (0.239226m/s, 0.0947977m/s)
Body 61 : Position (-46.0422m, -15.6689m), Velocity (-5.37937m/s, -1.83055m/s)
Body 62 : Position (-410.261m, -402.725m), Velocity (-47.8012m/s, -46.9148m/s)
Body 63 : Position (-0.248649m, -0.0486075m), Velocity (-0.0428593m/s, -0.00755888m/s)
Body 64 : Position (7.13901m, 1174.1m), Velocity (0.811934m/s, 135.851m/s)
Body 65 : Position (2.47948m, 2.60935m), Velocity (0m/s, 0m/s)
Body 66 : Position (0.108801m, -1.70048m), Velocity (0m/s, 0m/s)
Body 67 : Position (0.897702m, 0.137145m), Velocity (0m/s, 0m/s)
Body 68 : Position (9.94105m, 2.2273m), Velocity (0m/s, 0m/s)
Body 69 : Position (-0.226957m, 0.386244m), Velocity (0m/s, 0m/s)
Body 70 : Position (0.479449m, 0.663729m), Velocity (0m/s, 0m/s)
Body 71 : Position (0.246217m, 0.122599m), Velocity (0m/s, 0m/s)
Body 72 : Position (0.672143m, 0.00136048m), Velocity (0m/s, 0m/s)
Body 73 : Position (-1.31174m, 0.784428m), Velocity (0m/s, 0m/s)
Body 74 : Position (4.13533m, 2.0907m), Velocity (0m/s, 0m/s)
Body 75 : Position (0.24493m, 1.15025m), Velocity (0m/s, 0m/s)
Body 76 : Position (0.624781m, -0.466293m), Velocity (0m/s, 0m/s)
Body 77 : Position (15.3729m, 1.1242m), Velocity (0m/s, 0m/s)
Body 78 : Position (-0.90956m, -0.109571m), Velocity (0m/s, 0m/s)
Body 79 : Position (0.0415376m, -1.73746m), Velocity (0m/s, 0m/s)
Body 80 : Position (-2.32385m, 2.49288m), Velocity (0m/s, 0m/s)
Body 81 : Position (-1.06747m, 3.05629m), Velocity (0m/s, 0m/s)
Body 82 : Position (7.46219m, 0.419246m), Velocity (0m/s, 0m/s)
Body 83 : Position (1.56962m, 0.0480536m), Velocity (0m/s, 0m/s)
Body 84 : Position (-0.614974m, 2.33844m), Velocity (0m/s, 0m/s)
Body 85 : Position (0.626358m, 0.150645m), Velocity (0m/s, 0m/s)
Body 86 : Position (0.777193m, 0.475477m), Velocity (0m/s, 0m/s)
Body 87 : Position (0.431013m, 0.119712m), Velocity (0m/s, 0m/s)
Body 88 : Position (0.901388m, -0.427432m), Velocity (0m/s, 0m/s)
Body 89 : Position (-1.30751m, 0.763842m), Velocity (0m/s, 0m/s)
Body 90 : Position (-1.28818m, 0.612436m), Velocity (0m/s, 0m/s)
Body 91 : Position (-3.49982m, 2.80993m), Velocity (0m/s, 0m/s)
Body 92 : Position (-0.484206m, 0.247422m), Velocity (0m/s, 0m/s)
